Dates,States,Usage
02/01/2019 00:00:00,Punjab,119.9
03/01/2019 00:00:00,Punjab,121.9
04/01/2019 00:00:00,Punjab,118.8
05/01/2019 00:00:00,Punjab,121.0
06/01/2019 00:00:00,Punjab,121.4
07/01/2019 00:00:00,Punjab,118.0
08/01/2019 00:00:00,Punjab,107.5
09/01/2019 00:00:00,Punjab,132.5
10/01/2019 00:00:00,Punjab,131.5
11/01/2019 00:00:00,Punjab,130.3
12/01/2019 00:00:00,Punjab,137.9
13/01/2019 00:00:00,Punjab,135.8
14/01/2019 00:00:00,Punjab,139.3
15/01/2019 00:00:00,Punjab,141.1
16/01/2019 00:00:00,Punjab,231.9
17/01/2019 00:00:00,Punjab,253.8
18/01/2019 00:00:00,Punjab,236.4
19/01/2019 00:00:00,Punjab,229.8
20/01/2019 00:00:00,Punjab,195.0
21/01/2019 00:00:00,Punjab,207.1
22/01/2019 00:00:00,Punjab,218.9
23/01/2019 00:00:00,Punjab,136.0
24/01/2019 00:00:00,Punjab,132.5
25/01/2019 00:00:00,Punjab,134.3
26/01/2019 00:00:00,Punjab,135.9
27/01/2019 00:00:00,Punjab,141.2
28/01/2019 00:00:00,Punjab,144.5
29/01/2019 00:00:00,Punjab,139.6
30/01/2019 00:00:00,Punjab,60.0
31/01/2019 00:00:00,Punjab,62.7
02/02/2019 00:00:00,Punjab,63.6
03/02/2019 00:00:00,Punjab,63.5
04/02/2019 00:00:00,Punjab,68.0
05/02/2019 00:00:00,Punjab,72.1
06/02/2019 00:00:00,Punjab,70.5
07/02/2019 00:00:00,Punjab,92.0
08/02/2019 00:00:00,Punjab,105.8
09/02/2019 00:00:00,Punjab,110.1
10/02/2019 00:00:00,Punjab,112.4
11/02/2019 00:00:00,Punjab,111.3
12/02/2019 00:00:00,Punjab,108.5
13/02/2019 00:00:00,Punjab,98.8
14/02/2019 00:00:00,Punjab,104.6
15/02/2019 00:00:00,Punjab,109.7
16/02/2019 00:00:00,Punjab,112.8
17/02/2019 00:00:00,Punjab,110.7
18/02/2019 00:00:00,Punjab,109.5
19/02/2019 00:00:00,Punjab,106.7
20/02/2019 00:00:00,Punjab,101.5
21/02/2019 00:00:00,Punjab,155.9
22/02/2019 00:00:00,Punjab,166.3
23/02/2019 00:00:00,Punjab,175.9
24/02/2019 00:00:00,Punjab,183.6
25/02/2019 00:00:00,Punjab,188.8
26/02/2019 00:00:00,Punjab,186.4
27/02/2019 00:00:00,Punjab,186.9
28/02/2019 00:00:00,Punjab,107.5
02/03/2019 00:00:00,Punjab,102.9
03/03/2019 00:00:00,Punjab,104.2
