,Forecast
2020-05-13,3680.941467638615
2020-05-14,3321.5230895434224
2020-05-15,3407.12206301291
2020-05-16,3544.526452001784
2020-05-17,3306.037928563001
2020-05-18,3296.899135712843
2020-05-19,3447.719214826882
2020-05-20,3409.9380528561655
2020-05-21,3506.1707990745617
2020-05-22,3445.7161655870686
2020-05-23,3446.2523807056327
2020-05-24,3562.9359129331074
2020-05-25,3492.687328972787
2020-05-26,3428.1009778797
2020-05-27,3549.7951378440357
2020-05-28,3414.9997914832443
2020-05-29,3430.120875637766
2020-05-30,3497.1112837952082
2020-05-31,3437.7210574488518
2020-06-01,3396.574170793035
2020-06-02,3441.113040630566
2020-06-03,3481.8788887028227
2020-06-04,3463.6757443424603
2020-06-05,3440.178695126572
2020-06-06,3474.5547605329466
2020-06-07,3502.765594455907
2020-06-08,3447.522663818375
2020-06-09,3437.018512072193
2020-06-10,3518.648082025866
2020-06-11,3441.7758903078634
2020-06-12,3437.8619571903982
2020-06-13,3488.3586505673024
2020-06-14,3472.8850785349136
2020-06-15,3424.549112672377
2020-06-16,3441.733445942948
2020-06-17,3502.7935434192814
2020-06-18,3455.3895954198892
2020-06-19,3441.591891337386
2020-06-20,3484.083469496381
2020-06-21,3490.4263879918017
2020-06-22,3438.6800368882614
2020-06-23,3441.959893639952
2020-06-24,3513.3537908003805
2020-06-25,3451.165608140511
2020-06-26,3442.341664376597
2020-06-27,3488.820298162444
2020-06-28,3484.257543307071
2020-06-29,3434.2035515455073
2020-06-30,3444.4583818727424
2020-07-01,3510.6671151956657
2020-07-02,3455.890791598055
2020-07-03,3444.568549362902
2020-07-04,3489.0575619403585
2020-07-05,3489.9496287414336
2020-07-06,3439.0531047766844
2020-07-07,3445.8114230438155
2020-07-08,3514.6198811167214
2020-07-09,3456.129442725927
2020-07-10,3446.0606242197246
2020-07-11,3491.543716053383
2020-07-12,3489.7063384896464
2020-07-13,3439.2301368713374
2020-07-14,3447.7404809753707
2020-07-15,3515.2461362063423
2020-07-16,3458.6163137303774
2020-07-17,3447.9191014027165
2020-07-18,3492.905130747616
2020-07-19,3492.4338238301266
2020-07-20,3441.7476532239
2020-07-21,3449.3803348425786
2020-07-22,3517.538661769261
2020-07-23,3459.976921071637
2020-07-24,3449.594602230829
2020-07-25,3494.8292978551967
2020-07-26,3493.674175518575
2020-07-27,3443.092982238696
2020-07-28,3451.1652454433133
2020-07-29,3518.9966646682274
2020-07-30,3461.9016348675664
2020-07-31,3451.3615667528525
2020-08-01,3496.471822364647
2020-08-02,3495.659031663112
2020-08-03,3445.025325017276
2020-08-04,3452.8774457450045
2020-08-05,3520.872584763299
2020-08-06,3463.543840398039
2020-08-07,3453.082783707084
2020-08-08,3498.255325308583
2020-08-09,3497.2711459408183
2020-08-10,3446.6637173341037
2020-08-11,3454.6260777608272
2020-08-12,3522.5392302001924
2020-08-13,3465.3275174305895
2020-08-14,3454.8268912050066
2020-08-15,3499.9682528115904
2020-08-16,3499.0698827215456
2020-08-17,3448.4493015471594
2020-08-18,3456.35646019895
2020-08-19,3524.3106673008297
2020-08-20,3467.040353200335
2020-08-21,3456.5595422158494
2020-08-22,3501.716513604552
2020-08-23,3500.77518025395
2020-08-24,3450.161183053942
2020-08-25,3458.095982843769
2020-08-26,3526.029632538165
2020-08-27,3468.7886613751357
2020-08-28,3458.297927982697
2020-08-29,3503.447084174263
2020-08-30,3502.527262145496
2020-08-31,3451.909968819503
2020-09-01,3459.830928131226
2020-09-02,3527.774871381063
2020-09-03,3470.5192077597376
2020-09-04,3460.0334428257893
2020-09-05,3505.18651190323
2020-09-06,3504.2559192390263
2020-09-07,3453.640276139862
2020-09-08,3461.5681655815215
2020-09-09,3529.5069546832724
2020-09-10,3472.258647744685
2020-09-11,3461.7703949966476
2020-09-12,3506.9215049434265
2020-09-13,3505.996305129004
2020-09-14,3455.3798358039085
2020-09-15,3463.3042552528664
2020-09-16,3531.245625098087
2020-09-17,3473.993634601753
2020-09-18,3463.5066275406116
